"id","registered_name","active_ingredient","pharmaceutical_form","insurance_list","issuing","atc","license_holder"
"Npylfqlrss4hWdYRYoT51MV4HuT","NEMDATINE® 20mg film tableta","memantin","film tableta","A1","R","N06DX01","ACTAVIS D.O.O. BEOGRAD"
"00mZCUhFVpCaY3707S92N0SD3ZG","Stelara® 90mg/mL rastvor za injekciju u napunjenom injekcionom špricu","ustekinumab","rastvor za injekciju u napunjenom injekcionom špricu",,"SZR","L04AC05","PREDSTAVNIŠTVO JANSSEN-CILAG KFT BEOGRAD"
"RJwFTt0lLnkaRf8h6lpbIOOPlcO","Xefo® Rapid 8mg film tableta","lornoksikam","film tableta","B","R","M01AC05","TAKEDA GMBH PREDSTAVNIŠTVO, BEOGRAD (NOVI BEOGRAD)"
"2oCx9JhaDm7K3QVyP38On4uF2NA","Visus® plus 5mg/mL+50mcg/mL kapi za oči, rastvor","timolol, latanoprost","kapi za oči, rastvor","A","R","S01ED51","HEMOFARM AD VRŠAC"
"sSKyR4BsOlQ1vQxaF50nG600I2Z","Prospan® 7mg/mL sirup","bršljan (Hedera helix L.), suvi ekstrakt lista","sirup",,"BR",,"SALVEO DOO BEOGRAD"
"b0tW6J0cPlgZ4XgXIYMHEHpZDQ4","Tarka® 2mg+180mg tableta sa modifikovanim oslobađanjem","trandolapril, verapamil","tableta sa modifikovanim oslobađanjem",,"R","C09BB10","PREDSTAVNIŠTVO BGP PRODUCTS SWITZERLAND GMBH BEOGRAD-NOVI BEOGRAD"
"g7QgaXHffuzPlZpbTMtT6t30D0H","Darob® mite 80mg tableta","sotalol","tableta","A1","R","C07AA07","PREDSTAVNIŠTVO BGP PRODUCTS SWITZERLAND GMBH BEOGRAD-NOVI BEOGRAD"
"pFUUHmEQBHaWFuw37dx1qAdWd49","Onzapin® 20mg oralna disperzibilna tableta","olanzapin","oralna disperzibilna tableta","A","R","N05AH03","ACTAVIS D.O.O. BEOGRAD"
"VWp2N8umY0MGmonzKCHqHsYG4ZZ","Valodip® 320mg+5mg film tableta","valsartan, amlodipin","film tableta",,"R","C09DB01","KRKA-FARMA D.O.O. BEOGRAD"
"9CpafZKGac7R7Sle3ml0CXwd8vQ","Lostris® 250mg kapsula, tvrda","temozolomid","kapsula, tvrda","C","R","L01AX03","HEMOFARM AD VRŠAC"
"a2OASNohJrStZAXAMJ52xNe7dDH","Letizen® 10mg film tableta","cetirizin","film tableta",,"R","R06AE07","KRKA-FARMA D.O.O. BEOGRAD"
"r5pMTfk073R5JX77HIQDpPnvGcN","Temozolomide PharmaSwiss 180mg kapsula, tvrda","temozolomid","kapsula, tvrda",,"R","L01AX03","PHARMASWISS D.O.O., BEOGRAD"
"pXLyoSCoX4qfoM0L4DKzKvyIQTF","Budenofalk® 2mg/doza rektalna pena","budesonid","rektalna pena","B","R","A07EA06","EWOPHARMA D.O.O. BEOGRAD"
